tz,name,feature,long,countycode,state,pop,elev,lat,featclass,wikilink,id
America/Chicago,Chickasaw,PPL,-88.07472,097,AL,5930,10,30.7638,P,http://en.wikipedia.org/wiki/Chickasaw%2C_Alabama,4054996
America/Chicago,Childersburg,PPL,-86.35498,121,AL,4968,128,33.27817,P,"35044,http://en.wikipedia.org/wiki/Childersburg%2C_Alabama",4055045
America/Chicago,Citronelle,PPL,-88.22806,097,AL,3666,94,31.09073,P,"36522,http://en.wikipedia.org/wiki/Citronelle%2C_Alabama",4055535
America/Chicago,Clanton,PPL,-86.62943,021,AL,8239,183,32.83874,P,"35045,35046,http://en.wikipedia.org/wiki/Clanton%2C_Alabama",4055577
America/Chicago,Susan Moore,PPL,-86.42832,009,AL,721,232,34.08371,P,,4055597
America/Chicago,Clay,PPL,-86.59971,073,AL,5040,285,33.7026,P,"35048,http://en.wikipedia.org/wiki/Clay%2C_Alabama",4055650
America/Chicago,Clayhatchee,PPL,-85.72271,045,AL,510,59,31.23573,P,http://en.wikipedia.org/wiki/Clayhatchee%2C_Alabama,4055684
America/Chicago,Clayton,PPL,-85.44966,005,AL,1381,180,31.87822,P,"36016,http://en.wikipedia.org/wiki/Clayton%2C_Alabama",4055696
America/Chicago,Cleveland,PPL,-86.57749,009,AL,1356,160,33.99093,P,"35049,Klivlend,http://en.wikipedia.org/wiki/Cleveland%2C_Alabama,Кливленд",4055815
America/Chicago,Clio,PPL,-85.6105,005,AL,2250,160,31.70878,P,"36017,http://en.wikipedia.org/wiki/Clio%2C_Alabama",4055879
America/Chicago,Coaling,PPL,-87.34083,125,AL,1119,124,33.15901,P,"35449,http://en.wikipedia.org/wiki/Coaling%2C_Alabama",4056017
America/Chicago,Coffee Springs,PPL,-85.90938,061,AL,246,65,31.16462,P,"36318,http://en.wikipedia.org/wiki/Coffee_Springs%2C_Alabama",4056114
America/Chicago,Coffeeville,PPL,-88.08973,025,AL,350,55,31.75794,P,"36524,http://en.wikipedia.org/wiki/Coffeeville%2C_Alabama",4056118
America/Chicago,Coker,PPL,-87.68779,125,AL,781,63,33.24595,P,"35452,http://en.wikipedia.org/wiki/Coker%2C_Alabama",4056154
America/Chicago,Collinsville,PPL,-85.86053,049,AL,1651,214,34.26398,P,"35961,Kollinsvil',http://en.wikipedia.org/wiki/Collinsville%2C_Alabama,Коллинсвиль",4056381
America/Chicago,Colony,PPL,-86.19914,121,AL,394,153,33.5651,P,,4056409
America/Chicago,Columbia,PPL,-85.1116,069,AL,802,68,31.29268,P,"36319,Kolumbija,http://en.wikipedia.org/wiki/Columbia%2C_Alabama,Колумбия",4056419
America/Chicago,Columbiana,PPL,-86.60721,117,AL,3656,160,33.17817,P,"35051,http://en.wikipedia.org/wiki/Columbiana%2C_Alabama",4056427
America/Chicago,Concord,PPL,-87.03111,073,AL,1809,181,33.46761,P,"Konkord,http://en.wikipedia.org/wiki/Concord%2C_Alabama,Конкорд",4056515
